date,id,text,user,,,
2018-12-07 22:34:55,1.07117122341193E+018,"RT @Tia6sc: 🇺🇸  R.E.D. FRIDAY
🇺🇸 Remember
🇺🇸 Everyone
🇺🇸 Deployed
😇 God bless our Military 
😇 God bless our Military Families https://t.co/…",1.04922707507122E+018,,,
2018-12-07 22:34:55,1.07117122271571E+018,"RT @012_knight: Perks of stanning A.C.E:
-TALENT(I can't emphasize this enough)
-Genuinely love their fans, to the extent they remember ind…",1.00174795967397E+018,,,
2018-12-07 23:35:00,1.07118634503134E+018,I need to go take my flu shot . Feels like I’m getting sick &amp; me &amp; my baby don’t need that right now,7.39321169078194E+017,,,
2018-12-07 23:35:00,1.07118634144934E+018,"RT @EmilyEF2: Thank you PG @eagleradio and everyone else who acted you were all amazing and I'm so glad I came today, you put a smile on ev…",23930762,,,
2018-12-07 23:34:59,1.071186337515E+018,"@wouterhavinga @dnunan79 @ubcnews @richardhorton1 So to be clear, you are a GP whose position is that giving the fl… https://t.co/80mRjUTP6Q",69218082,,,
2018-12-07 23:34:56,1.07118632549429E+018,RT @kingsleyyy: Straight men give me a headache.,1281638192,,,
2018-12-07 23:34:55,1.07118632280572E+018,"RT @Laurie_Garrett: With 39 #measles cases among children of Ultra-Orthodox Jews in #Brooklyn , City says #vaccinate now, or pull your kids…",779314886,,,
2018-12-07 23:34:42,1.07118626886699E+018,I have the worst headache,8.70630344327823E+017,,,
2018-12-07 23:34:37,1.07118624623446E+018,college is the best until it’s the week before finals and you have the flu,2732159764,,,
2018-12-07 23:34:34,1.07118623384855E+018,RT @etourvol: hi everyone. today they had a soap making event at my university and i accidentally made this very cursed soap that is the co…,8.75452727358177E+017,,,
2018-12-07 23:34:33,1.07118622937762E+018,@Hm_Faded Lol your headache tho?,2867365399,,,
2018-12-07 23:34:32,1.07118622502806E+018,2nd deadliest Ebola outbreak in history spreads to major city - ABC News - https://t.co/YbQh87tHY8 via @ABC,16080547,,,
2018-12-07 23:34:31,1.07118622070797E+018,"RT @MakeItRayn_: Things Vaccines Have Done:

•Nearly eliminated Diphtheria, Small/Chicken Pox, Mumps, Rotavirus, Pneumococcal Disease, Whoo…",2964657458,,,
2018-12-07 23:34:29,1.0711862149408E+018,@Minecraft When i play minecraft i cant play it for more then 5 minutes without getting a headache for some reason,1.00364725959731E+018,,,
2018-12-07 23:34:29,1.07118621220176E+018,@gmfb @nflnetwork Explosive Diarrhea,1.00822224121601E+018,,,
2018-12-07 23:34:28,1.07118620932864E+018,@jjonescurl Was it the question that gave you a headache?  Cuz that question gave me a headache!!,1244822432,,,
2018-12-07 23:34:24,1.07118619241303E+018,"People can be so fucking dumb and insensitive sometimes, I'm getting a headache.",2727816193,,,
2018-12-07 23:34:23,1.07118618616783E+018,RT @kingsleyyy: Straight men give me a headache.,47021954,,,
2018-12-07 23:34:22,1.07118618214957E+018,@TTremendous350 @_tm5k guys I have a 3 day long headache in the back right quarter of my head am I dieing?,1.0702131957075E+018,,,
2018-12-07 23:34:21,1.07118617970441E+018,can someone DM me ways to get better when you have the flu bc I am struggling,3039673377,,,
2018-12-07 23:34:20,1.07118617319472E+018,Days gone by&gt;hurt road&gt;headache&gt;so cool&gt;121u&gt;marathon,863975526,,,
2018-12-07 23:34:13,1.07118614696774E+018,@hentai__police Besides the swine flu this is pretty accurate🤔😳,846578910,,,
2018-12-07 23:34:12,1.07118614305443E+018,RT @Rick_Pescatore: Please. I’m begging you to get a flu shot. Last year our EDs were overwhelmed by flu patients. Wait times stretched lon…,16108403,,,
2018-12-07 23:34:12,1.07118614088192E+018,RT @Rick_Pescatore: Please. I’m begging you to get a flu shot. Last year our EDs were overwhelmed by flu patients. Wait times stretched lon…,25245810,,,
2018-12-07 23:34:12,1.07118613998428E+018,"RT @UbatOhUbat: Differences between headache and migraine.
- Headache can be a symptoms of illness
- Meanwhile, migraine is an illness. htt…",3040650470,,,
2018-12-07 23:34:08,1.07118612287159E+018,really hope i’m not getting the flu,2299992296,,,
2018-12-07 23:34:07,1.07118612163426E+018,does Lucozade even help when you're ill??? I've always had it when i've got flu yet never questioned this once,7.7904541542135E+017,,,
2018-12-07 23:34:06,1.07118611855133E+018,"RT @sabinvaccine: Based on the new findings of a 30% increase in measles cases since 2017, international agencies are calling for action to…",255404649,,,
2018-12-07 23:34:05,1.07118611308632E+018,RT @carliejacksonnn: Anxiety sucks so bad. Feeling like you’re not good enough or constantly wondering why someone thinks you are is someth…,711605219,,,
2018-12-07 23:34:05,1.0711861108507E+018,RT @kingsleyyy: Straight men give me a headache.,307396784,,,
2018-12-07 23:34:03,1.0711861046514E+018,RT @kingsleyyy: Straight men give me a headache.,913421299,,,
2018-12-07 23:34:02,1.07118609958481E+018,RT @flyaway_k: Benedickhead Donald shouldn’t be calling anyone lazy or dumb as a rock since he’s a Mount Rushmore-sized moronic fucknut wit…,8.19308461678887E+017,,,
2018-12-07 23:34:01,1.07118609637616E+018,"Wow, throwback to when I actually had swine flu",8.80420419773268E+017,,,
2018-12-07 23:33:57,1.07118608069785E+018,RT @carliejacksonnn: Anxiety sucks so bad. Feeling like you’re not good enough or constantly wondering why someone thinks you are is someth…,9.53450151305269E+017,,,
2018-12-07 23:33:57,1.07118607753119E+018,@SupaGirlZombie I have a headache but I’m tired and I wanna do you wanna is a time for y’all tomorrow morning I got… https://t.co/1EIn5XjVDF,9.37654931477221E+017,,,
2018-12-07 23:33:54,1.07118606596315E+018,@NateHousley also: what's a headache?,9.07722451831874E+017,,,
2018-12-07 23:33:49,1.07118604510919E+018,i just threw up so much that it gave me the worlds biggest headache,9.72748728984637E+017,,,
2018-12-07 23:33:47,1.07118603670388E+018,RT @flyaway_k: Benedickhead Donald shouldn’t be calling anyone lazy or dumb as a rock since he’s a Mount Rushmore-sized moronic fucknut wit…,1514518548,,,
2018-12-07 23:33:46,1.07118603371734E+018,RT @flyaway_k: Benedickhead Donald shouldn’t be calling anyone lazy or dumb as a rock since he’s a Mount Rushmore-sized moronic fucknut wit…,41414924,,,
2018-12-07 23:33:42,1.07118601680591E+018,i have a headache so yk im ready to go,633204579,,,
2018-12-07 23:33:39,1.07118600419363E+018,Im having a headache and I knew whats the pathophysio of it. Im sick of being sick #medlife,1.05901407187641E+018,,,
2018-12-07 23:33:33,1.07118597612966E+018,My headache is still here 🙃,29518993,,,
2018-12-07 23:33:29,1.07118596273726E+018,RT @tobinscoswag: My dad was involved in a car crash same night I was out there performing. He almost fractured his legs while equally sust…,2531812120,,,
2018-12-07 23:33:26,1.07118594741134E+018,"RT @MakeItRayn_: Things Vaccines Have Done:

•Nearly eliminated Diphtheria, Small/Chicken Pox, Mumps, Rotavirus, Pneumococcal Disease, Whoo…",602934677,,,
2018-12-07 23:33:26,1.07118594710922E+018,"RT @ItsYorgi: @GabbyNews3LV @News3LV My father had GBS. It came on rapidly after a natural cold, no flu shot. Flu shots have attenuated vir…",73128187,,,
2018-12-07 23:33:22,1.07118593173295E+018,"RT @CTVWindsor: More kids with influenza
What is being done to help prevent local kids from getting the flu? @CCampbellCTV has details. htt…",754063477,,,
2018-12-07 23:33:18,1.07118591313541E+018,"RT @MakeItRayn_: Things Vaccines Have Done:

•Nearly eliminated Diphtheria, Small/Chicken Pox, Mumps, Rotavirus, Pneumococcal Disease, Whoo…",750321156,,,
2018-12-07 23:33:08,1.0711858717417E+018,I think I have the stomach flu and I’m hype af to lose hella weight 🤪,213658740,,,
2018-12-07 23:33:04,1.07118585467505E+018,I have a headache and feel like I’m gonna throw up. 😞,9.30838461912773E+017,,,
2018-12-07 23:33:02,1.07118585010329E+018,RT @carliejacksonnn: Anxiety sucks so bad. Feeling like you’re not good enough or constantly wondering why someone thinks you are is someth…,8.91073901492552E+017,,,
2018-12-07 23:33:02,1.07118584863108E+018,"RT @jaelavie: 두통 (Headache);
“Even if it hurts, it’ll be okay
I would rather you be a headache
At least I can feel you then
Because it’ll r…",4438443440,,,
2018-12-07 23:33:00,1.071185838955E+018,"More kids with influenza
What is being done to help prevent local kids from getting the flu? @CCampbellCTV has deta… https://t.co/U5Bl5ylaLQ",312195939,,,
2018-12-07 23:35:06,1.07118636898495E+018,"RT @icecreamcakeee: I 

J 
U 
S 
T 

W 
A 
N 
T 

T 
O 

T 
H 
A 
N 
K 

G 
O 
D 

F 
O 
R 

E 
V 
E 
R 
Y 
T 
H 
I 
N 
G 
.

RETWEET IF YO…",2148300073,,,
2018-12-07 23:35:06,1.07118636714784E+018,"@BeckyLynchWWE One more tweet from Becky in which she is mention @MsCharlotteWWE...... AGAIN! but, this is Glorious… https://t.co/e2gpwRP1R7",214652559,,,
2018-12-07 23:35:06,1.07118636629628E+018,"RT @CON_CRETE: Watch and listen to my new single, ""Kickin' It"" ft. my dog, A.X.E a.k.a. @axe_the_great 
Link is in my bio:  https://t.co/yz…",632261909,,,
2018-12-07 23:35:06,1.07118636628383E+018,RT @BABAmiLEKO: The noise Jimi Agbaje got ........ o boy e go tough for sanwo olu.,65924211,,,
2018-12-07 23:35:05,1.07118636562936E+018,RT @hiddlesbb: a c c u r a t e. https://t.co/4T9rVk8EsU,1.04798597147872E+018,,,
2018-12-07 23:35:05,1.07118636291583E+018,"Bev Cooper section 3, row e 13 and 14 ...haven’t seen you since Allen Town Fair in the 70s! Bucket list night! @marieosmond",860624430,,,
2018-12-07 23:35:05,1.07118636286966E+018,"RT @icecreamcakeee: I 

J 
U 
S 
T 

W 
A 
N 
T 

T 
O 

T 
H 
A 
N 
K 

G 
O 
D 

F 
O 
R 

E 
V 
E 
R 
Y 
T 
H 
I 
N 
G 
.

RETWEET IF YO…",748003854,,,
2018-12-07 23:35:04,1.07118636032791E+018,the hags REFUSE to d*e and that’s on that https://t.co/Fuemry6Wt1,519783087,,,
2018-12-07 23:35:04,1.07118635991271E+018,"Party at Rose Bar Tonight! Outdoor Patio, Food, Hookah &amp; VIP Available! https://t.co/BSm591bFYA",20468696,,,
2018-12-07 23:35:04,1.07118635941769E+018,"Earthquake:  M 5.1 NEAR EAST COAST OF HONSHU, JAPAN: Magnitude   M 5.1 Region   NEAR EAST COAST OF HONSHU, JAPAN Da… https://t.co/rw5Jzvc2GU",8.61679744710058E+017,,,
2018-12-07 23:35:04,1.07118635809654E+018,The magic 💫✨of #parachuteday in P.E.! #NNPSProud #createthemagic https://t.co/B18OHLWHaa,65412584,,,
2018-12-07 23:35:03,1.07118635702704E+018,RT @HOT97: Welcome Back: Reggae Artist Buju Banton is Free from Prison! https://t.co/xHqNdvsfSR https://t.co/C50XblpHe8,8.17553889192972E+017,,,
2018-12-07 23:35:03,1.07118635483326E+018,@queeeenshit @T_E_Fatori Now now don't fight over me 😅,614815318,,,
